DATE,DAXRNSA
2000-01-01,100.00
2000-02-01,101.82
2000-03-01,102.04
2000-04-01,103.20
2000-05-01,104.11
2000-06-01,104.28
2000-07-01,104.66
2000-08-01,105.04
2000-09-01,105.73
2000-10-01,105.69
2000-11-01,106.19
2000-12-01,106.20
2001-01-01,106.49
2001-02-01,107.09
2001-03-01,108.33
2001-04-01,109.77
2001-05-01,110.45
2001-06-01,111.20
2001-07-01,111.12
2001-08-01,111.39
2001-09-01,111.22
2001-10-01,111.43
2001-11-01,111.37
2001-12-01,111.62
2002-01-01,111.76
2002-02-01,111.40
2002-03-01,112.37
2002-04-01,113.14
2002-05-01,113.81
2002-06-01,113.96
2002-07-01,113.98
2002-08-01,114.42
2002-09-01,114.50
2002-10-01,114.15
2002-11-01,113.80
2002-12-01,113.82
2003-01-01,113.89
2003-02-01,113.38
2003-03-01,112.93
2003-04-01,113.22
2003-05-01,113.91
2003-06-01,114.96
2003-07-01,115.29
2003-08-01,115.39
2003-09-01,115.26
2003-10-01,114.89
2003-11-01,114.59
2003-12-01,114.05
2004-01-01,114.00
2004-02-01,113.80
2004-03-01,113.25
2004-04-01,114.20
2004-05-01,115.37
2004-06-01,116.40
2004-07-01,116.93
2004-08-01,117.18
2004-09-01,116.98
2004-10-01,116.76
2004-11-01,116.45
2004-12-01,116.58
2005-01-01,116.39
2005-02-01,116.46
2005-03-01,117.37
2005-04-01,118.37
2005-05-01,119.47
2005-06-01,120.03
2005-07-01,120.83
2005-08-01,121.15
2005-09-01,121.62
2005-10-01,121.66
2005-11-01,122.11
2005-12-01,122.20
2006-01-01,121.91
2006-02-01,121.33
2006-03-01,121.52
2006-04-01,122.40
2006-05-01,123.29
2006-06-01,124.50
2006-07-01,125.37
2006-08-01,125.70
2006-09-01,125.19
2006-10-01,124.58
2006-11-01,123.85
2006-12-01,123.67
2007-01-01,122.64
2007-02-01,122.73
2007-03-01,123.16
2007-04-01,124.71
2007-05-01,125.49
2007-06-01,126.47
2007-07-01,126.30
2007-08-01,126.31
2007-09-01,125.42
2007-10-01,124.45
2007-11-01,122.39
2007-12-01,120.78
2008-01-01,118.49
2008-02-01,117.76
2008-03-01,119.01
2008-04-01,120.44
2008-05-01,121.60
2008-06-01,122.49
2008-07-01,123.21
2008-08-01,123.04
2008-09-01,122.06
2008-10-01,120.59
2008-11-01,118.25
2008-12-01,115.44
2009-01-01,112.60
2009-02-01,112.26
2009-03-01,112.36
2009-04-01,114.30
2009-05-01,116.50
2009-06-01,119.73
2009-07-01,121.26
2009-08-01,121.50
2009-09-01,120.63
2009-10-01,119.91
2009-11-01,119.96
2009-12-01,118.83
2010-01-01,117.29
2010-02-01,115.27
2010-03-01,115.82
2010-04-01,118.18
2010-05-01,119.92
2010-06-01,121.04
2010-07-01,120.75
2010-08-01,119.36
2010-09-01,117.44
2010-10-01,116.11
2010-11-01,114.88
2010-12-01,114.67
2011-01-01,114.04
2011-02-01,113.78
2011-03-01,112.76
2011-04-01,113.28
2011-05-01,114.28
2011-06-01,115.90
2011-07-01,116.92
2011-08-01,117.11
2011-09-01,116.44
2011-10-01,115.42
2011-11-01,114.00
2011-12-01,113.18
2012-01-01,112.63
2012-02-01,112.72
2012-03-01,114.48
2012-04-01,116.42
2012-05-01,118.60
2012-06-01,120.14
2012-07-01,121.21
2012-08-01,121.38
2012-09-01,121.56
2012-10-01,120.74
2012-11-01,120.60
2012-12-01,120.51
2013-01-01,120.53
2013-02-01,120.72
2013-03-01,122.31
2013-04-01,125.05
2013-05-01,127.61
2013-06-01,129.79
2013-07-01,131.48
2013-08-01,132.30
2013-09-01,132.59
2013-10-01,132.46
2013-11-01,132.58
2013-12-01,132.84
2014-01-01,132.67
2014-02-01,133.00
2014-03-01,134.55
2014-04-01,136.73
2014-05-01,138.55
2014-06-01,140.15
2014-07-01,141.22
2014-08-01,142.04
2014-09-01,142.40
2014-10-01,142.62
2014-11-01,142.78
2014-12-01,142.85
2015-01-01,143.45
2015-02-01,144.43
2015-03-01,147.17
2015-04-01,148.80
2015-05-01,150.27
2015-06-01,151.67
2015-07-01,153.56
2015-08-01,154.68
2015-09-01,155.26
2015-10-01,155.80
2015-11-01,156.11
2015-12-01,156.43
2016-01-01,156.63
2016-02-01,157.45
2016-03-01,159.69
2016-04-01,161.67
2016-05-01,163.80
2016-06-01,165.22
2016-07-01,166.35
2016-08-01,167.15
2016-09-01,167.73
2016-10-01,168.43
2016-11-01,168.74
2016-12-01,169.07
2017-01-01,169.50
2017-02-01,171.33
2017-03-01,173.43
